eps,min_samples,BER
0.05,20.0,0.22058945105820105
0.05,40.0,0.3556409832451499
0.05,80.0,0.0004983281893004115
0.05,160.0,0.20869846781305115
0.05,320.0,0.4998599169606114
0.1,20.0,1.8371546149323927e-05
0.1,40.0,1.8371546149323927e-05
0.1,80.0,1.8371546149323927e-05
0.1,160.0,2.9853762492651382e-05
0.1,320.0,0.00031461272780717225
0.2,20.0,2.0667989417989417e-05
0.2,40.0,1.8371546149323927e-05
0.2,80.0,1.8371546149323927e-05
0.2,160.0,1.8371546149323927e-05
0.2,320.0,2.0667989417989417e-05
0.3,20.0,0.5007187867430923
0.3,40.0,0.4999334031452087
0.3,80.0,0.38997740299823636
0.3,160.0,2.755731922398589e-05
0.3,320.0,1.8371546149323927e-05
