max_depth,min_samples_leaf,BER
2.0,2.0,0.24952923345427824
2.0,3.0,0.24952923345427824
2.0,5.0,0.24952923345427824
2.0,10.0,0.24952923345427824
2.0,20.0,0.24952923345427824
2.0,50.0,0.24952923345427824
2.0,100.0,0.24952923345427824
2.0,200.0,0.24952923345427824
2.0,500.0,0.24952923345427824
3.0,2.0,0.12655582602305607
3.0,3.0,0.12655582602305607
3.0,5.0,0.12655582602305607
3.0,10.0,0.12655582602305607
3.0,20.0,0.12655582602305607
3.0,50.0,0.12655582602305607
3.0,100.0,0.12655582602305607
3.0,200.0,0.12655582602305607
3.0,500.0,0.12655582602305607
5.0,2.0,0.004202452578882102
5.0,3.0,0.004202452578882102
5.0,5.0,0.004202452578882102
5.0,10.0,0.004202452578882102
5.0,20.0,0.004202452578882102
5.0,50.0,0.004202452578882102
5.0,100.0,0.004202452578882102
5.0,200.0,0.004202452578882102
5.0,500.0,0.004202452578882102
7.0,2.0,0.004202452578882102
7.0,3.0,0.004202452578882102
7.0,5.0,0.004202452578882102
7.0,10.0,0.004202452578882102
7.0,20.0,0.004202452578882102
7.0,50.0,0.0041220778027832635
7.0,100.0,0.004236898911495889
7.0,200.0,0.004179488357139577
7.0,500.0,0.004202452578882102
9.0,2.0,0.004627290681118817
9.0,3.0,0.004627290681118817
9.0,5.0,0.00463877279199008
9.0,10.0,0.004673219124603867
9.0,20.0,0.004627290681118817
9.0,50.0,0.004455059018049878
9.0,100.0,0.00432875579846599
9.0,200.0,0.004248381022367152
9.0,500.0,0.0042254168006246266
15.0,2.0,0.005970697653056538
15.0,3.0,0.006074036650897901
15.0,5.0,0.006142929316125477
15.0,10.0,0.0058903228769577
15.0,20.0,0.005362145776879622
15.0,50.0,0.004742111789831443
15.0,100.0,0.004455059018049878
15.0,200.0,0.00428282735498094
15.0,500.0,0.0042254168006246266
25.0,2.0,0.006349607311808203
25.0,3.0,0.006418499977035778
25.0,5.0,0.006487392642263353
25.0,10.0,0.00624626831396684
25.0,20.0,0.005522895329077297
25.0,50.0,0.00477655812244523
25.0,100.0,0.004478023239792403
25.0,200.0,0.00428282735498094
25.0,500.0,0.0042254168006246266
50.0,2.0,0.006407017866164516
50.0,3.0,0.006441464198778304
50.0,5.0,0.006452946309649566
50.0,10.0,0.006165893537868001
50.0,20.0,0.005476966885592247
50.0,50.0,0.00477655812244523
50.0,100.0,0.004478023239792403
50.0,200.0,0.00428282735498094
50.0,500.0,0.0042254168006246266
100.0,2.0,0.006429982087907041
100.0,3.0,0.0064759105313920914
100.0,5.0,0.006452946309649566
100.0,10.0,0.006142929316125477
100.0,20.0,0.00548844899646351
100.0,50.0,0.004799522344187755
100.0,100.0,0.004478023239792403
100.0,200.0,0.00428282735498094
100.0,500.0,0.0042254168006246266
