max_depth,min_samples_leaf,BER
2.0,2.0,0.26157396775823266
2.0,3.0,0.26157396775823266
2.0,5.0,0.26157396775823266
2.0,10.0,0.26157396775823266
2.0,20.0,0.26157396775823266
2.0,50.0,0.26157396775823266
2.0,100.0,0.26157396775823266
2.0,200.0,0.26157396775823266
2.0,500.0,0.26157396775823266
3.0,2.0,0.14999081431130298
3.0,3.0,0.14999081431130298
3.0,5.0,0.14999081431130298
3.0,10.0,0.14999081431130298
3.0,20.0,0.14999081431130298
3.0,50.0,0.14999081431130298
3.0,100.0,0.14999081431130298
3.0,200.0,0.14999081431130298
3.0,500.0,0.14999081431130298
5.0,2.0,0.039418086621044415
5.0,3.0,0.039418086621044415
5.0,5.0,0.039418086621044415
5.0,10.0,0.039418086621044415
5.0,20.0,0.039418086621044415
5.0,50.0,0.039418086621044415
5.0,100.0,0.039418086621044415
5.0,200.0,0.039418086621044415
5.0,500.0,0.039418086621044415
7.0,2.0,0.03976254994718229
7.0,3.0,0.03976254994718229
7.0,5.0,0.03976254994718229
7.0,10.0,0.03976254994718229
7.0,20.0,0.03976254994718229
7.0,50.0,0.03976254994718229
7.0,100.0,0.03976254994718229
7.0,200.0,0.03970513939282598
7.0,500.0,0.03949846139714325
9.0,2.0,0.04040554815597299
9.0,3.0,0.04042851237771552
9.0,5.0,0.04040554815597299
9.0,10.0,0.040394066045101734
9.0,20.0,0.040336655490745416
9.0,50.0,0.04032517337987416
9.0,100.0,0.04022183438203279
9.0,200.0,0.03991181738850871
9.0,500.0,0.03946401506452946
15.0,2.0,0.04938455885730032
15.0,3.0,0.04935011252468654
15.0,5.0,0.0491778808616176
15.0,10.0,0.047903366554907456
15.0,20.0,0.04624994258944564
15.0,50.0,0.04407982363477702
15.0,100.0,0.04249529233454278
15.0,200.0,0.04092224314517981
15.0,500.0,0.039555871951499566
25.0,2.0,0.05781242823680705
25.0,3.0,0.05783539245854958
25.0,5.0,0.05723832269324393
25.0,10.0,0.0542414917558444
25.0,20.0,0.050590180498782895
25.0,50.0,0.04622697836770312
25.0,100.0,0.043115326321590965
25.0,200.0,0.04106002847563496
25.0,500.0,0.039555871951499566
50.0,2.0,0.05837505166949892
50.0,3.0,0.05910990676525973
50.0,5.0,0.05803058834336104
50.0,10.0,0.05485004363202131
50.0,20.0,0.050808340605336885
50.0,50.0,0.04620401414596059
50.0,100.0,0.043057915767234646
50.0,200.0,0.04106002847563496
50.0,500.0,0.039555871951499566
100.0,2.0,0.058340605336885135
100.0,3.0,0.058478390667340285
100.0,5.0,0.05803058834336104
100.0,10.0,0.05501079318421899
100.0,20.0,0.050808340605336885
100.0,50.0,0.04608919303724797
100.0,100.0,0.04302346943462086
100.0,200.0,0.04106002847563496
100.0,500.0,0.039555871951499566
